index;value
14/08/2014;1183
15/08/2014;955
16/08/2014;629
17/08/2014;561
18/08/2014;833
19/08/2014;1067
20/08/2014;987
21/08/2014;976
22/08/2014;1218
23/08/2014;853
24/08/2014;432
25/08/2014;869
26/08/2014;1152
27/08/2014;944
28/08/2014;947
29/08/2014;847
30/08/2014;626
31/08/2014;558
01/09/2014;2300
02/09/2014;2469
03/09/2014;1411
04/09/2014;1178
05/09/2014;1111
06/09/2014;641
07/09/2014;867
08/09/2014;1359
09/09/2014;1730
10/09/2014;1529
11/09/2014;1168
12/09/2014;1222
13/09/2014;889
14/09/2014;648
15/09/2014;1023
16/09/2014;1453
17/09/2014;1260
18/09/2014;1190
19/09/2014;1207
20/09/2014;706
21/09/2014;929
22/09/2014;1879
23/09/2014;1579
24/09/2014;1389
25/09/2014;1352
26/09/2014;1118
27/09/2014;944
28/09/2014;734
29/09/2014;1048
30/09/2014;1431
01/10/2014;1296
02/10/2014;1126
03/10/2014;1158
04/10/2014;872
05/10/2014;756
06/10/2014;1221
07/10/2014;1620
08/10/2014;1528
09/10/2014;1486
10/10/2014;1639
11/10/2014;1114
12/10/2014;874
13/10/2014;1161
14/10/2014;1557
15/10/2014;1740
16/10/2014;1598
17/10/2014;1397
18/10/2014;1153
19/10/2014;797
20/10/2014;1320
21/10/2014;1747
22/10/2014;1944
23/10/2014;1664
24/10/2014;1516
25/10/2014;1077
26/10/2014;777
27/10/2014;1139
28/10/2014;1671
29/10/2014;1590
30/10/2014;1491
31/10/2014;1438
01/11/2014;1060
02/11/2014;789
03/11/2014;1270
04/11/2014;1384
05/11/2014;1490
06/11/2014;1554
07/11/2014;1569
08/11/2014;1422
09/11/2014;888
10/11/2014;1276
11/11/2014;1650
12/11/2014;1699
13/11/2014;1464
14/11/2014;1495
15/11/2014;1030
16/11/2014;812
17/11/2014;1231
18/11/2014;1465
19/11/2014;1707
20/11/2014;1678
21/11/2014;1632
22/11/2014;1678
23/11/2014;958
24/11/2014;1529
25/11/2014;2368
26/11/2014;1811
27/11/2014;1558
28/11/2014;1239
29/11/2014;995
30/11/2014;1009
01/12/2014;1313
02/12/2014;1544
03/12/2014;2422
04/12/2014;1621
05/12/2014;1512
06/12/2014;1278
07/12/2014;955
08/12/2014;1384
09/12/2014;2569
10/12/2014;2140
11/12/2014;2235
12/12/2014;1719
13/12/2014;1143
14/12/2014;955
15/12/2014;1412
16/12/2014;1965
17/12/2014;1789
18/12/2014;2198
19/12/2014;1636
20/12/2014;859
21/12/2014;743
22/12/2014;974
23/12/2014;1609
24/12/2014;1165
25/12/2014;848
26/12/2014;1030
27/12/2014;1410
28/12/2014;879
29/12/2014;1259
30/12/2014;1254
31/12/2014;1026
01/01/2015;768
02/01/2015;736
03/01/2015;863
04/01/2015;759
05/01/2015;1071
06/01/2015;1455
07/01/2015;1635
08/01/2015;1537
09/01/2015;1388
10/01/2015;1144
11/01/2015;728
12/01/2015;1335
13/01/2015;1730
14/01/2015;1558
15/01/2015;1571
16/01/2015;1502
17/01/2015;1203
18/01/2015;807
19/01/2015;1138
20/01/2015;1648
21/01/2015;1661
22/01/2015;1743
23/01/2015;1544
24/01/2015;1439
25/01/2015;1269
26/01/2015;1262
27/01/2015;1892
28/01/2015;1687
29/01/2015;1778
30/01/2015;1485
31/01/2015;1428
01/02/2015;1010
02/02/2015;1293
03/02/2015;1941
04/02/2015;1714
05/02/2015;1676
06/02/2015;1591
07/02/2015;1077
08/02/2015;809
09/02/2015;1294
10/02/2015;1715
11/02/2015;1810
12/02/2015;1890
13/02/2015;1690
14/02/2015;989
15/02/2015;783
16/02/2015;1271
17/02/2015;1501
18/02/2015;1613
19/02/2015;1632
20/02/2015;1486
21/02/2015;1338
22/02/2015;862
23/02/2015;1529
24/02/2015;1837
25/02/2015;1948
26/02/2015;1917
27/02/2015;1765
28/02/2015;1261
01/03/2015;895
02/03/2015;1219
03/03/2015;1690
04/03/2015;1660
05/03/2015;1662
06/03/2015;1616
07/03/2015;1245
08/03/2015;931
09/03/2015;1259
10/03/2015;1666
11/03/2015;1782
12/03/2015;2083
13/03/2015;2287
14/03/2015;1247
15/03/2015;1120
16/03/2015;1668
17/03/2015;2006
18/03/2015;2359
19/03/2015;2649
20/03/2015;2006
21/03/2015;1364
22/03/2015;966
23/03/2015;1626
24/03/2015;2001
25/03/2015;1992
26/03/2015;2279
27/03/2015;1850
28/03/2015;1250
29/03/2015;968
30/03/2015;1411
31/03/2015;1833
01/04/2015;1923
02/04/2015;1910
03/04/2015;1486
04/04/2015;1044
05/04/2015;927
06/04/2015;1030
07/04/2015;1965
08/04/2015;1768
09/04/2015;2082
10/04/2015;2063
11/04/2015;1424
12/04/2015;1073
13/04/2015;1664
14/04/2015;1799
15/04/2015;1947
16/04/2015;1839
17/04/2015;1885
18/04/2015;1237
19/04/2015;950
20/04/2015;1636
21/04/2015;1928
22/04/2015;1898
23/04/2015;2323
24/04/2015;1979
25/04/2015;1259
26/04/2015;1158
27/04/2015;1617
28/04/2015;2144
29/04/2015;2028
