index,value
1773 nov,40.9
1773 dez,43.2
1774 jan,46.8
1774 fev,65.4
1774 mar,55.7
1774 abr,43.8
1774 mai,51.3
1774 jun,28.5
1774 jul,17.5
1774 ago,6.6
1774 set,7.9
1774 out,14
1774 nov,17.7
1774 dez,12.2
1775 jan,4.4
1775 fev,0
1775 mar,11.6
1775 abr,11.2
1775 mai,3.9
1775 jun,12.3
1775 jul,1
1775 ago,7.9
1775 set,3.2
1775 out,5.6
1775 nov,15.1
1775 dez,7.9
1776 jan,21.7
1776 fev,11.6
1776 mar,6.3
1776 abr,21.8
1776 mai,11.2
1776 jun,19
1776 jul,1
1776 ago,24.2
1776 set,16
1776 out,30
1776 nov,35
1776 dez,40
1777 jan,45
1777 fev,36.5
1777 mar,39
1777 abr,95.5
1777 mai,80.3
1777 jun,80.7
1777 jul,95
1777 ago,112
1777 set,116.2
1777 out,106.5
1777 nov,146
1777 dez,157.3
1778 jan,177.3
1778 fev,109.3
1778 mar,134
1778 abr,145
1778 mai,238.9
1778 jun,171.6
1778 jul,153
1778 ago,140
1778 set,171.7
1778 out,156.3
1778 nov,150.3
1778 dez,105
1779 jan,114.7
1779 fev,165.7
1779 mar,118
1779 abr,145
1779 mai,140
1779 jun,113.7
1779 jul,143
1779 ago,112
1779 set,111
1779 out,124
1779 nov,114
1779 dez,110
1780 jan,70
1780 fev,98
1780 mar,98
1780 abr,95
1780 mai,107.2
1780 jun,88
1780 jul,86
1780 ago,86
1780 set,93.7
1780 out,77
1780 nov,60
1780 dez,58.7
1781 jan,98.7
1781 fev,74.7
1781 mar,53
1781 abr,68.3
1781 mai,104.7
1781 jun,97.7
1781 jul,73.5
1781 ago,66
1781 set,51
1781 out,27.3
1781 nov,67
1781 dez,35.2
1782 jan,54
1782 fev,37.5
1782 mar,37
1782 abr,41
1782 mai,54.3
1782 jun,38
1782 jul,37
1782 ago,44
1782 set,34
1782 out,23.2
1782 nov,31.5
1782 dez,30
1783 jan,28
1783 fev,38.7
1783 mar,26.7
1783 abr,28.3
1783 mai,23
1783 jun,25.2
1783 jul,32.2
1783 ago,20
1783 set,18
1783 out,8
1783 nov,15
1783 dez,10.5
1784 jan,13
1784 fev,8
1784 mar,11
1784 abr,10
1784 mai,6
1784 jun,9
1784 jul,6
1784 ago,10
1784 set,10
1784 out,8
1784 nov,17
1784 dez,14
1785 jan,6.5
1785 fev,8
1785 mar,9
1785 abr,15.7
1785 mai,20.7
1785 jun,26.3
1785 jul,36.3
1785 ago,20
1785 set,32
1785 out,47.2
1785 nov,40.2
1785 dez,27.3
1786 jan,37.2
1786 fev,47.6
1786 mar,47.7
1786 abr,85.4
1786 mai,92.3
1786 jun,59
1786 jul,83
1786 ago,89.7
1786 set,111.5
1786 out,112.3
1786 nov,116
1786 dez,112.7
1787 jan,134.7
1787 fev,106
1787 mar,87.4
1787 abr,127.2
1787 mai,134.8
1787 jun,99.2
1787 jul,128
1787 ago,137.2
1787 set,157.3
1787 out,157
1787 nov,141.5
1787 dez,174
1788 jan,138
1788 fev,129.2
1788 mar,143.3
1788 abr,108.5
1788 mai,113
1788 jun,154.2
1788 jul,141.5
1788 ago,136
1788 set,141
1788 out,142
1788 nov,94.7
1788 dez,129.5
1789 jan,114
1789 fev,125.3
1789 mar,120
1789 abr,123.3
1789 mai,123.5
1789 jun,120
1789 jul,117
1789 ago,103
1789 set,112
1789 out,89.7
1789 nov,134
1789 dez,135.5
1790 jan,103
1790 fev,127.5
1790 mar,96.3
1790 abr,94
1790 mai,93
1790 jun,91
1790 jul,69.3
1790 ago,87
1790 set,77.3
1790 out,84.3
1790 nov,82
1790 dez,74
1791 jan,72.7
1791 fev,62
1791 mar,74
1791 abr,77.2
1791 mai,73.7
1791 jun,64.2
1791 jul,71
1791 ago,43
1791 set,66.5
1791 out,61.7
1791 nov,67
1791 dez,66
1792 jan,58
1792 fev,64
1792 mar,63
1792 abr,75.7
1792 mai,62
1792 jun,61
1792 jul,45.8
1792 ago,60
1792 set,59
1792 out,59
1792 nov,57
1792 dez,56
1793 jan,56
1793 fev,55
1793 mar,55.5
1793 abr,53
1793 mai,52.3
1793 jun,51
1793 jul,50
1793 ago,29.3
1793 set,24
1793 out,47
1793 nov,44
1793 dez,45.7
1794 jan,45
1794 fev,44
1794 mar,38
1794 abr,28.4
1794 mai,55.7
1794 jun,41.5
1794 jul,41
1794 ago,40
1794 set,11.1
1794 out,28.5
1794 nov,67.4
1794 dez,51.4
1795 jan,21.4
1795 fev,39.9
1795 mar,12.6
1795 abr,18.6
1795 mai,31
1795 jun,17.1
1795 jul,12.9
1795 ago,25.7
1795 set,13.5
1795 out,19.5
1795 nov,25
1795 dez,18
1796 jan,22
1796 fev,23.8
1796 mar,15.7
1796 abr,31.7
1796 mai,21
1796 jun,6.7
1796 jul,26.9
1796 ago,1.5
1796 set,18.4
1796 out,11
1796 nov,8.4
1796 dez,5.1
1797 jan,14.4
1797 fev,4.2
1797 mar,4
1797 abr,4
1797 mai,7.3
1797 jun,11.1
1797 jul,4.3
1797 ago,6
1797 set,5.7
1797 out,6.9
1797 nov,5.8
1797 dez,3
1798 jan,2
1798 fev,4
1798 mar,12.4
1798 abr,1.1
1798 mai,0
1798 jun,0
1798 jul,0
1798 ago,3
1798 set,2.4
1798 out,1.5
1798 nov,12.5
1798 dez,9.9
1799 jan,1.6
1799 fev,12.6
1799 mar,21.7
1799 abr,8.4
1799 mai,8.2
1799 jun,10.6
1799 jul,2.1
1799 ago,0
1799 set,0
1799 out,4.6
1799 nov,2.7
1799 dez,8.6
1800 jan,6.9
1800 fev,9.3
1800 mar,13.9
1800 abr,0
1800 mai,5
1800 jun,23.7
1800 jul,21
1800 ago,19.5
1800 set,11.5
1800 out,12.3
1800 nov,10.5
1800 dez,40.1
1801 jan,27
1801 fev,29
1801 mar,30
1801 abr,31
1801 mai,32
1801 jun,31.2
1801 jul,35
1801 ago,38.7
1801 set,33.5
1801 out,32.6
1801 nov,39.8
1801 dez,48.2
1802 jan,47.8
1802 fev,47
1802 mar,40.8
1802 abr,42
1802 mai,44
1802 jun,46
1802 jul,48
1802 ago,50
1802 set,51.8
1802 out,38.5
1802 nov,34.5
1802 dez,50
1803 jan,50
1803 fev,50.8
1803 mar,29.5
1803 abr,25
1803 mai,44.3
1803 jun,36
1803 jul,48.3
1803 ago,34.1
1803 set,45.3
1803 out,54.3
1803 nov,51
1803 dez,48
1804 jan,45.3
1804 fev,48.3
1804 mar,48
1804 abr,50.6
1804 mai,33.4
1804 jun,34.8
1804 jul,29.8
1804 ago,43.1
1804 set,53
1804 out,62.3
1804 nov,61
1804 dez,60
1805 jan,61
1805 fev,44.1
1805 mar,51.4
1805 abr,37.5
1805 mai,39
1805 jun,40.5
1805 jul,37.6
1805 ago,42.7
1805 set,44.4
1805 out,29.4
1805 nov,41
1805 dez,38.3
1806 jan,39
1806 fev,29.6
1806 mar,32.7
1806 abr,27.7
1806 mai,26.4
1806 jun,25.6
1806 jul,30
1806 ago,26.3
1806 set,24
1806 out,27
1806 nov,25
1806 dez,24
1807 jan,12
1807 fev,12.2
1807 mar,9.6
1807 abr,23.8
1807 mai,10
1807 jun,12
1807 jul,12.7
1807 ago,12
1807 set,5.7
1807 out,8
1807 nov,2.6
1807 dez,0
1808 jan,0
1808 fev,4.5
1808 mar,0
1808 abr,12.3
1808 mai,13.5
1808 jun,13.5
1808 jul,6.7
1808 ago,8
1808 set,11.7
1808 out,4.7
1808 nov,10.5
1808 dez,12.3
1809 jan,7.2
1809 fev,9.2
1809 mar,0.9
1809 abr,2.5
1809 mai,2
1809 jun,7.7
1809 jul,0.3
1809 ago,0.2
1809 set,0.4
1809 out,0
1809 nov,0
1809 dez,0
1810 jan,0
1810 fev,0
1810 mar,0
1810 abr,0
1810 mai,0
1810 jun,0
1810 jul,0
1810 ago,0
1810 set,0
1810 out,0
1810 nov,0
1810 dez,0
1811 jan,0
1811 fev,0
1811 mar,0
1811 abr,0
1811 mai,0
1811 jun,0
1811 jul,6.6
1811 ago,0
1811 set,2.4
1811 out,6.1
1811 nov,0.8
1811 dez,1.1
1812 jan,11.3
1812 fev,1.9
1812 mar,0.7
1812 abr,0
1812 mai,1
1812 jun,1.3
1812 jul,0.5
1812 ago,15.6
1812 set,5.2
1812 out,3.9
1812 nov,7.9
1812 dez,10.1
1813 jan,0
1813 fev,10.3
1813 mar,1.9
1813 abr,16.6
1813 mai,5.5
1813 jun,11.2
1813 jul,18.3
1813 ago,8.4
1813 set,15.3
1813 out,27.8
1813 nov,16.7
1813 dez,14.3
1814 jan,22.2
1814 fev,12
1814 mar,5.7
1814 abr,23.8
1814 mai,5.8
1814 jun,14.9
1814 jul,18.5
1814 ago,2.3
1814 set,8.1
1814 out,19.3
1814 nov,14.5
1814 dez,20.1
1815 jan,19.2
1815 fev,32.2
1815 mar,26.2
1815 abr,31.6
1815 mai,9.8
1815 jun,55.9
1815 jul,35.5
1815 ago,47.2
1815 set,31.5
1815 out,33.5
1815 nov,37.2
1815 dez,65
1816 jan,26.3
1816 fev,68.8
1816 mar,73.7
1816 abr,58.8
1816 mai,44.3
1816 jun,43.6
1816 jul,38.8
1816 ago,23.2
1816 set,47.8
1816 out,56.4
1816 nov,38.1
1816 dez,29.9
1817 jan,36.4
1817 fev,57.9
1817 mar,96.2
1817 abr,26.4
1817 mai,21.2
1817 jun,40
1817 jul,50
1817 ago,45
1817 set,36.7
1817 out,25.6
1817 nov,28.9
1817 dez,28.4
1818 jan,34.9
1818 fev,22.4
1818 mar,25.4
1818 abr,34.5
1818 mai,53.1
1818 jun,36.4
1818 jul,28
1818 ago,31.5
1818 set,26.1
1818 out,31.7
1818 nov,10.9
1818 dez,25.8
1819 jan,32.5
1819 fev,20.7
1819 mar,3.7
1819 abr,20.2
1819 mai,19.6
1819 jun,35
1819 jul,31.4
1819 ago,26.1
1819 set,14.9
1819 out,27.5
1819 nov,25.1
1819 dez,30.6
1820 jan,19.2
1820 fev,26.6
1820 mar,4.5
1820 abr,19.4
1820 mai,29.3
1820 jun,10.8
1820 jul,20.6
1820 ago,25.9
1820 set,5.2
1820 out,9
1820 nov,7.9
1820 dez,9.7
1821 jan,21.5
1821 fev,4.3
1821 mar,5.7
1821 abr,9.2
1821 mai,1.7
1821 jun,1.8
1821 jul,2.5
1821 ago,4.8
1821 set,4.4
1821 out,18.8
1821 nov,4.4
1821 dez,0
1822 jan,0
1822 fev,0.9
1822 mar,16.1
1822 abr,13.5
1822 mai,1.5
1822 jun,5.6
1822 jul,7.9
1822 ago,2.1
1822 set,0
1822 out,0.4
1822 nov,0
1822 dez,0
1823 jan,0
1823 fev,0
1823 mar,0.6
1823 abr,0
1823 mai,0
1823 jun,0
1823 jul,0.5
1823 ago,0
1823 set,0
1823 out,0
1823 nov,0
1823 dez,20.4
1824 jan,21.6
1824 fev,10.8
1824 mar,0
1824 abr,19.4
1824 mai,2.8
1824 jun,0
1824 jul,0
1824 ago,1.4
1824 set,20.5
1824 out,25.2
1824 nov,0
1824 dez,0.8
1825 jan,5
1825 fev,15.5
1825 mar,22.4
1825 abr,3.8
1825 mai,15.4
1825 jun,15.4
1825 jul,30.9
1825 ago,25.4
1825 set,15.7
1825 out,15.6
1825 nov,11.7
1825 dez,22
1826 jan,17.7
1826 fev,18.2
1826 mar,36.7
1826 abr,24
1826 mai,32.4
1826 jun,37.1
1826 jul,52.5
1826 ago,39.6
1826 set,18.9
1826 out,50.6
1826 nov,39.5
1826 dez,68.1
1827 jan,34.6
1827 fev,47.4
1827 mar,57.8
1827 abr,46
1827 mai,56.3
1827 jun,56.7
1827 jul,42.9
1827 ago,53.7
1827 set,49.6
1827 out,57.2
1827 nov,48.2
1827 dez,46.1
1828 jan,52.8
1828 fev,64.4
1828 mar,65
1828 abr,61.1
1828 mai,89.1
1828 jun,98
1828 jul,54.3
1828 ago,76.4
1828 set,50.4
1828 out,54.7
1828 nov,57
1828 dez,46.6
1829 jan,43
1829 fev,49.4
1829 mar,72.3
1829 abr,95
1829 mai,67.5
1829 jun,73.9
1829 jul,90.8
1829 ago,78.3
1829 set,52.8
1829 out,57.2
1829 nov,67.6
1829 dez,56.5
1830 jan,52.2
1830 fev,72.1
1830 mar,84.6
1830 abr,107.1
1830 mai,66.3
1830 jun,65.1
1830 jul,43.9
1830 ago,50.7
1830 set,62.1
1830 out,84.4
1830 nov,81.2
1830 dez,82.1
1831 jan,47.5
1831 fev,50.1
1831 mar,93.4
1831 abr,54.6
1831 mai,38.1
1831 jun,33.4
1831 jul,45.2
1831 ago,54.9
1831 set,37.9
1831 out,46.2
1831 nov,43.5
1831 dez,28.9
1832 jan,30.9
1832 fev,55.5
1832 mar,55.1
1832 abr,26.9
1832 mai,41.3
1832 jun,26.7
1832 jul,13.9
1832 ago,8.9
1832 set,8.2
1832 out,21.1
1832 nov,14.3
1832 dez,27.5
1833 jan,11.3
1833 fev,14.9
1833 mar,11.8
1833 abr,2.8
1833 mai,12.9
1833 jun,1
1833 jul,7
1833 ago,5.7
1833 set,11.6
1833 out,7.5
1833 nov,5.9
1833 dez,9.9
1834 jan,4.9
1834 fev,18.1
1834 mar,3.9
1834 abr,1.4
1834 mai,8.8
1834 jun,7.8
1834 jul,8.7
1834 ago,4
1834 set,11.5
1834 out,24.8
1834 nov,30.5
1834 dez,34.5
1835 jan,7.5
1835 fev,24.5
1835 mar,19.7
1835 abr,61.5
1835 mai,43.6
1835 jun,33.2
1835 jul,59.8
1835 ago,59
1835 set,100.8
1835 out,95.2
1835 nov,100
1835 dez,77.5
1836 jan,88.6
1836 fev,107.6
1836 mar,98.1
1836 abr,142.9
1836 mai,111.4
1836 jun,124.7
1836 jul,116.7
1836 ago,107.8
1836 set,95.1
1836 out,137.4
1836 nov,120.9
1836 dez,206.2
1837 jan,188
1837 fev,175.6
1837 mar,134.6
1837 abr,138.2
1837 mai,111.3
1837 jun,158
1837 jul,162.8
1837 ago,134
1837 set,96.3
1837 out,123.7
1837 nov,107
1837 dez,129.8
1838 jan,144.9
1838 fev,84.8
1838 mar,140.8
1838 abr,126.6
1838 mai,137.6
1838 jun,94.5
1838 jul,108.2
1838 ago,78.8
1838 set,73.6
1838 out,90.8
1838 nov,77.4
1838 dez,79.8
1839 jan,107.6
1839 fev,102.5
1839 mar,77.7
1839 abr,61.8
1839 mai,53.8
1839 jun,54.6
1839 jul,84.7
1839 ago,131.2
1839 set,132.7
1839 out,90.8
1839 nov,68.8
1839 dez,63.6
1840 jan,81.2
1840 fev,87.7
1840 mar,55.5
1840 abr,65.9
1840 mai,69.2
1840 jun,48.5
1840 jul,60.7
1840 ago,57.8
1840 set,74
1840 out,49.8
1840 nov,54.3
1840 dez,53.7
1841 jan,24
1841 fev,29.9
1841 mar,29.7
1841 abr,42.6
1841 mai,67.4
1841 jun,55.7
1841 jul,30.8
1841 ago,39.3
1841 set,35.1
1841 out,28.5
1841 nov,19.8
1841 dez,38.8
1842 jan,20.4
1842 fev,22.1
1842 mar,21.7
1842 abr,26.9
1842 mai,24.9
1842 jun,20.5
1842 jul,12.6
1842 ago,26.5
1842 set,18.5
1842 out,38.1
1842 nov,40.5
1842 dez,17.6
1843 jan,13.3
1843 fev,3.5
1843 mar,8.3
1843 abr,8.8
1843 mai,21.1
1843 jun,10.5
1843 jul,9.5
1843 ago,11.8
1843 set,4.2
1843 out,5.3
1843 nov,19.1
1843 dez,12.7
1844 jan,9.4
1844 fev,14.7
1844 mar,13.6
1844 abr,20.8
1844 mai,12
1844 jun,3.7
1844 jul,21.2
1844 ago,23.9
1844 set,6.9
1844 out,21.5
1844 nov,10.7
1844 dez,21.6
1845 jan,25.7
1845 fev,43.6
1845 mar,43.3
1845 abr,56.9
1845 mai,47.8
1845 jun,31.1
1845 jul,30.6
1845 ago,32.3
1845 set,29.6
1845 out,40.7
1845 nov,39.4
1845 dez,59.7
1846 jan,38.7
1846 fev,51
1846 mar,63.9
1846 abr,69.2
1846 mai,59.9
1846 jun,65.1
1846 jul,46.5
1846 ago,54.8
1846 set,107.1
1846 out,55.9
1846 nov,60.4
1846 dez,65.5
1847 jan,62.6
1847 fev,44.9
1847 mar,85.7
1847 abr,44.7
1847 mai,75.4
1847 jun,85.3
1847 jul,52.2
1847 ago,140.6
1847 set,161.2
1847 out,180.4
1847 nov,138.9
1847 dez,109.6
1848 jan,159.1
1848 fev,111.8
1848 mar,108.9
1848 abr,107.1
1848 mai,102.2
1848 jun,123.8
1848 jul,139.2
1848 ago,132.5
1848 set,100.3
1848 out,132.4
1848 nov,114.6
1848 dez,159.9
1849 jan,156.7
1849 fev,131.7
1849 mar,96.5
1849 abr,102.5
1849 mai,80.6
1849 jun,81.2
1849 jul,78
1849 ago,61.3
1849 set,93.7
1849 out,71.5
1849 nov,99.7
1849 dez,97
1850 jan,78
1850 fev,89.4
1850 mar,82.6
1850 abr,44.1
1850 mai,61.6
1850 jun,70
1850 jul,39.1
1850 ago,61.6
1850 set,86.2
1850 out,71
1850 nov,54.8
1850 dez,60
1851 jan,75.5
1851 fev,105.4
1851 mar,64.6
1851 abr,56.5
1851 mai,62.6
1851 jun,63.2
1851 jul,36.1
1851 ago,57.4
1851 set,67.9
1851 out,62.5
1851 nov,50.9
1851 dez,71.4
1852 jan,68.4
1852 fev,67.5
1852 mar,61.2
1852 abr,65.4
1852 mai,54.9
1852 jun,46.9
1852 jul,42
1852 ago,39.7
1852 set,37.5
1852 out,67.3
1852 nov,54.3
1852 dez,45.4
1853 jan,41.1
1853 fev,42.9
1853 mar,37.7
1853 abr,47.6
1853 mai,34.7
1853 jun,40
1853 jul,45.9
1853 ago,50.4
1853 set,33.5
1853 out,42.3
1853 nov,28.8
1853 dez,23.4
1854 jan,15.4
1854 fev,20
1854 mar,20.7
1854 abr,26.4
1854 mai,24
1854 jun,21.1
1854 jul,18.7
1854 ago,15.8
1854 set,22.4
1854 out,12.7
1854 nov,28.2
1854 dez,21.4
1855 jan,12.3
1855 fev,11.4
1855 mar,17.4
1855 abr,4.4
1855 mai,9.1
1855 jun,5.3
1855 jul,0.4
1855 ago,3.1
1855 set,0
1855 out,9.7
1855 nov,4.3
1855 dez,3.1
1856 jan,0.5
1856 fev,4.9
1856 mar,0.4
1856 abr,6.5
1856 mai,0
1856 jun,5
1856 jul,4.6
1856 ago,5.9
1856 set,4.4
1856 out,4.5
1856 nov,7.7
1856 dez,7.2
1857 jan,13.7
1857 fev,7.4
1857 mar,5.2
1857 abr,11.1
1857 mai,29.2
1857 jun,16
1857 jul,22.2
1857 ago,16.9
1857 set,42.4
1857 out,40.6
1857 nov,31.4
1857 dez,37.2
1858 jan,39
1858 fev,34.9
1858 mar,57.5
1858 abr,38.3
1858 mai,41.4
1858 jun,44.5
1858 jul,56.7
1858 ago,55.3
1858 set,80.1
1858 out,91.2
1858 nov,51.9
1858 dez,66.9
1859 jan,83.7
1859 fev,87.6
1859 mar,90.3
1859 abr,85.7
1859 mai,91
1859 jun,87.1
1859 jul,95.2
1859 ago,106.8
1859 set,105.8
1859 out,114.6
1859 nov,97.2
1859 dez,81
1860 jan,81.5
1860 fev,88
1860 mar,98.9
1860 abr,71.4
1860 mai,107.1
1860 jun,108.6
1860 jul,116.7
1860 ago,100.3
1860 set,92.2
1860 out,90.1
1860 nov,97.9
1860 dez,95.6
1861 jan,62.3
1861 fev,77.8
1861 mar,101
1861 abr,98.5
1861 mai,56.8
1861 jun,87.8
1861 jul,78
1861 ago,82.5
1861 set,79.9
1861 out,67.2
1861 nov,53.7
1861 dez,80.5
1862 jan,63.1
1862 fev,64.5
1862 mar,43.6
1862 abr,53.7
1862 mai,64.4
1862 jun,84
1862 jul,73.4
1862 ago,62.5
1862 set,66.6
1862 out,42
1862 nov,50.6
1862 dez,40.9
1863 jan,48.3
1863 fev,56.7
1863 mar,66.4
1863 abr,40.6
1863 mai,53.8
1863 jun,40.8
1863 jul,32.7
1863 ago,48.1
1863 set,22
1863 out,39.9
1863 nov,37.7
1863 dez,41.2
1864 jan,57.7
1864 fev,47.1
1864 mar,66.3
1864 abr,35.8
1864 mai,40.6
1864 jun,57.8
1864 jul,54.7
1864 ago,54.8
1864 set,28.5
1864 out,33.9
1864 nov,57.6
1864 dez,28.6
1865 jan,48.7
1865 fev,39.3
1865 mar,39.5
1865 abr,29.4
1865 mai,34.5
1865 jun,33.6
1865 jul,26.8
1865 ago,37.8
1865 set,21.6
1865 out,17.1
1865 nov,24.6
1865 dez,12.8
1866 jan,31.6
1866 fev,38.4
1866 mar,24.6
1866 abr,17.6
1866 mai,12.9
1866 jun,16.5
1866 jul,9.3
1866 ago,12.7
1866 set,7.3
1866 out,14.1
1866 nov,9
1866 dez,1.5
1867 jan,0
1867 fev,0.7
1867 mar,9.2
1867 abr,5.1
1867 mai,2.9
1867 jun,1.5
1867 jul,5
1867 ago,4.9
1867 set,9.8
1867 out,13.5
1867 nov,9.3
1867 dez,25.2
1868 jan,15.6
1868 fev,15.8
1868 mar,26.5
1868 abr,36.6
1868 mai,26.7
1868 jun,31.1
1868 jul,28.6
1868 ago,34.4
1868 set,43.8
1868 out,61.7
1868 nov,59.1
1868 dez,67.6
1869 jan,60.9
1869 fev,59.3
1869 mar,52.7
1869 abr,41
1869 mai,104
1869 jun,108.4
1869 jul,59.2
1869 ago,79.6
1869 set,80.6
1869 out,59.4
1869 nov,77.4
1869 dez,104.3
1870 jan,77.3
1870 fev,114.9
1870 mar,159.4
1870 abr,160
1870 mai,176
1870 jun,135.6
1870 jul,132.4
1870 ago,153.8
1870 set,136
1870 out,146.4
1870 nov,147.5
1870 dez,130
1871 jan,88.3
1871 fev,125.3
1871 mar,143.2
1871 abr,162.4
1871 mai,145.5
1871 jun,91.7
1871 jul,103
1871 ago,110
1871 set,80.3
1871 out,89
1871 nov,105.4
1871 dez,90.3
1872 jan,79.5
1872 fev,120.1
1872 mar,88.4
1872 abr,102.1
1872 mai,107.6
1872 jun,109.9
1872 jul,105.5
1872 ago,92.9
1872 set,114.6
1872 out,103.5
1872 nov,112
1872 dez,83.9
1873 jan,86.7
1873 fev,107
1873 mar,98.3
1873 abr,76.2
1873 mai,47.9
1873 jun,44.8
1873 jul,66.9
1873 ago,68.2
1873 set,47.5
1873 out,47.4
1873 nov,55.4
