index;value
01/01/1821;6.6
01/01/1822;4
01/01/1823;1.8
01/01/1824;8.5
01/01/1825;16.6
01/01/1826;36.3
01/01/1827;49.6
01/01/1828;64.2
01/01/1829;67
01/01/1830;70.9
01/01/1831;47.8
01/01/1832;27.5
01/01/1833;8.5
01/01/1834;13.2
01/01/1835;56.9
01/01/1836;121.5
01/01/1837;138.3
01/01/1838;103.2
01/01/1839;85.7
01/01/1840;64.6
01/01/1841;36.7
01/01/1842;24.2
01/01/1843;10.7
01/01/1844;15
01/01/1845;40.1
01/01/1846;61.5
01/01/1847;98.5
01/01/1848;124.7
01/01/1849;96.3
01/01/1850;66.6
01/01/1851;64.5
01/01/1852;54.1
01/01/1853;39
01/01/1854;20.6
01/01/1855;6.7
01/01/1856;4.3
01/01/1857;22.7
01/01/1858;54.8
01/01/1859;93.8
01/01/1860;95.8
01/01/1861;77.2
01/01/1862;59.1
01/01/1863;44
01/01/1864;47
01/01/1865;30.5
01/01/1866;16.3
01/01/1867;7.3
01/01/1868;37.6
01/01/1869;74
01/01/1870;139
01/01/1871;111.2
01/01/1872;101.6
01/01/1873;66.2
01/01/1874;44.7
01/01/1875;17
01/01/1876;11.3
01/01/1877;12.4
01/01/1878;3.4
01/01/1879;6
01/01/1880;32.3
01/01/1881;54.3
01/01/1882;59.7
01/01/1883;63.7
01/01/1884;63.5
01/01/1885;52.2
01/01/1886;25.4
01/01/1887;13.1
01/01/1888;6.8
01/01/1889;6.3
01/01/1890;7.1
01/01/1891;35.6
01/01/1892;73
01/01/1893;85.1
01/01/1894;78
01/01/1895;64
01/01/1896;41.8
01/01/1897;26.2
01/01/1898;26.7
01/01/1899;12.1
01/01/1900;9.5
01/01/1901;2.7
01/01/1902;5
01/01/1903;24.4
01/01/1904;42
01/01/1905;63.5
01/01/1906;53.8
01/01/1907;62
01/01/1908;48.5
01/01/1909;43.9
01/01/1910;18.6
01/01/1911;5.7
01/01/1912;3.6
01/01/1913;1.4
01/01/1914;9.6
01/01/1915;47.4
01/01/1916;57.1
01/01/1917;103.9
01/01/1918;80.6
01/01/1919;63.6
01/01/1920;37.6
01/01/1921;26.1
01/01/1922;14.2
01/01/1923;5.8
01/01/1924;16.7
01/01/1925;44.3
01/01/1926;63.9
01/01/1927;69
01/01/1928;77.8
01/01/1929;64.9
01/01/1930;35.7
01/01/1931;21.2
01/01/1932;11.1
01/01/1933;5.7
01/01/1934;8.7
01/01/1935;36.1
01/01/1936;79.7
01/01/1937;114.4
01/01/1938;109.6
01/01/1939;88.8
01/01/1940;67.8
01/01/1941;47.5
01/01/1942;30.6
01/01/1943;16.3
01/01/1944;9.6
01/01/1945;33.2
01/01/1946;92.6
01/01/1947;151.6
01/01/1948;136.3
01/01/1949;134.7
01/01/1950;83.9
01/01/1951;69.4
01/01/1952;31.5
01/01/1953;13.9
01/01/1954;4.4
01/01/1955;38
01/01/1956;141.7
01/01/1957;190.2
01/01/1958;184.8
01/01/1959;159
01/01/1960;112.3
01/01/1961;53.9
01/01/1962;37.5
01/01/1963;27.9
01/01/1964;10.2
01/01/1965;15.1
01/01/1966;47
01/01/1967;93.8
01/01/1968;105.9
01/01/1969;105.5
01/01/1970;104.5
01/01/1971;66.6
01/01/1972;68.9
01/01/1973;38
01/01/1974;34.5
01/01/1975;15.5
01/01/1976;12.6
01/01/1977;27.5
01/01/1978;92.5
01/01/1979;155.4
01/01/1980;154.7
01/01/1981;140.5
01/01/1982;115.9
01/01/1983;66.6
01/01/1984;45.9
01/01/1985;17.9
01/01/1986;13.4
01/01/1987;29.2
01/01/1988;100.2
